currentAnger;currentSurprise;currentJoy;currentSadness;Time

0;0;0;0;183.0167

0.006178709;0.1895119;0.001784914;0.02495355;183.4445

0.005049421;0.1914781;0.001808447;0.02452525;183.947

0.005716981;0.1725807;0.001617693;0.02774352;184.4353

0.00876968;0.1876642;0.00177037;0.025043;184.9447

0.006149148;0.1913874;0.00180931;0.02439817;185.4445

0;0;0;0;186.9842

0.005627022;0.191156;0.001808856;0.02435187;187.4825

0.005326685;0.1902875;0.00179634;0.02449474;187.9765

0.00506895;0.1910492;0.001805142;0.02441408;188.4859

0.005464735;0.1921507;0.001817017;0.02421663;188.9784

0.03324772;0.06257751;0.000534221;0.09863024;189.49

37.28905;0.0004822919;2.634317E-06;30.26632;189.9845

37.14911;0.0005197028;2.738483E-06;28.92743;190.4806

38.88601;0.0005156619;2.709605E-06;29.13946;190.9855

49.85833;0.0005240416;2.719941E-06;28.94301;191.4876

61.01455;0.0005300768;2.709884E-06;28.76539;191.9792

70.43794;0.0007299234;2.103969E-06;25.61678;192.4873

0.1802926;0.09759519;3.026764E-06;0.4889664;192.9786

5.986768;0.004486257;2.907707E-05;2.650135;193.4858

0.01397613;0.1251592;0.001133814;0.0415922;193.9807

0.0170341;0.09063546;0.0007958694;0.06235268;194.4733

37.71409;0.0004840788;2.650854E-06;30.1312;194.9769

41.88729;0.0004852992;2.63402E-06;30.20365;195.4767

37.53245;0.0005178757;2.690448E-06;29.19129;195.9749

39.44704;0.0005272565;2.75435E-06;29.12719;196.4873

49.09466;0.0005425643;2.696088E-06;29.18448;196.9848

49.86994;0.0005329386;2.725477E-06;28.76431;197.4799

51.1224;0.0005124944;2.705629E-06;29.54594;197.9857

42.60245;0.0005274114;2.740055E-06;30.00349;198.4813

38.38797;0.0005245962;2.771081E-06;29.51876;198.9962

39.08886;0.0005084169;2.7096E-06;29.64741;199.4891

47.05544;0.0005264696;2.766349E-06;29.12179;199.9905

43.91584;0.0006136674;3.313741E-06;25.46328;200.4894

45.62384;0.0009244649;5.224296E-06;16.36904;200.988

50.01009;0.0005657486;3.092119E-06;26.70901;201.4879

44.82538;0.0005224947;2.837092E-06;28.57936;201.9771

52.24594;0.0005377582;2.921178E-06;27.96099;202.4778

24.69678;0.001024096;5.902214E-06;14.76077;202.9881

