currentAnger;currentSurprise;currentJoy;currentSadness;Time

0;0;0;0;303.6237

0.006416596;0.1914527;0.001811886;0.02427389;304.1163

0.006388772;0.1915042;0.001812928;0.02434259;304.5511

0.006281081;0.1889576;0.001787427;0.02470368;305.0438

0.006970998;0.1918019;0.00181596;0.02427781;305.5435

0.006310385;0.1897915;0.001796365;0.0245955;306.0551

0.007360468;0.1915176;0.001813973;0.0243221;306.5474

35.20182;0.0006548351;3.697697E-06;22.75653;307.0431

46.04218;0.0004788619;2.627708E-06;30.31227;307.5447

0.0008518964;1.008345;0.0004231081;0.01235494;308.0415

0.005349261;0.1998827;0.001780395;0.02361117;308.5482

37.59398;0.000493345;2.709595E-06;29.54705;309.0437

37.79955;0.0004786049;2.627693E-06;41.30907;309.5552

37.83965;0.0004786427;2.627778E-06;82.70506;310.0481

39.23662;0.0004786884;2.627693E-06;83.2446;310.5529

50.6139;0.0004788253;2.627552E-06;82.33194;311.0455

39.15691;0.0004787824;2.627542E-06;81.78051;311.5486

37.83106;0.0004788838;2.627252E-06;83.42718;312.045

37.94718;0.0004789071;2.627412E-06;83.90488;312.5512

37.80065;0.000478766;2.627578E-06;83.79168;313.0513

37.83393;0.0004789221;2.627362E-06;83.58436;313.5432

37.92841;0.0004788637;2.627457E-06;83.66706;314.0562

38.05094;0.0004788665;2.627753E-06;83.82982;314.5395

38.49295;0.0004791351;2.627618E-06;83.90617;315.0394

38.71376;0.0004791542;2.628505E-06;83.91386;315.5408

38.74144;0.0004795474;2.629778E-06;83.85302;316.0429

38.449;0.0004801688;2.634176E-06;83.71774;316.5457

