currentAnger;currentSurprise;currentJoy;currentSadness;Time

0;0;0;0;71.98231

0.005063854;0.1924525;0.001815738;0.02435564;72.39468

0.005664229;0.1932755;0.001820638;0.02226313;72.90659

0.02094551;0.2014791;0.01107527;0.002205934;73.39759

0.003259448;0.4758387;5.753039;0.0001553938;73.90761

0.0001317667;1.351554;89.49946;2.011021E-05;74.4034

0.0001248221;1.596481;94.74849;1.408285E-05;74.90275

0.000883051;1.639996;33.68556;6.640474E-05;75.39524

0.001854174;1.843325;13.86898;0.0001046351;75.89388

0.006442931;1.523548;0.07536174;0.001368774;76.40093

0.008980531;0.6397172;0.04174749;0.0030781;76.89427

0.01273216;0.4813865;0.04468502;0.003669811;77.40238

0.03275899;0.5847507;0.01471774;0.005184507;77.90813

0.03795723;0.5086631;0.007399653;0.006663965;78.39535

0.02225924;0.4188355;0.004555868;0.01001815;78.90703

0.02720158;0.3614665;0.002771156;0.01389613;79.39508

0.05445477;0.3332067;0.002711408;0.01470985;79.90858

0.04356941;0.4026006;0.002831481;0.01296044;80.40701

0.01534697;0.2926035;0.002634111;0.01548116;80.89478

0.01075973;0.2587961;0.002173826;0.018228;81.40248

0.04028664;0.2555018;0.002358568;0.01821608;81.8993

0.04709956;0.2539507;0.002160729;0.01898041;82.40028

0.05890923;0.2584566;0.002136006;0.01875498;82.89376

0.05004682;0.2608733;0.002140247;0.01845815;83.39548

0.02961646;0.2702203;0.002143195;0.01849977;83.90704

0.02849213;0.2461529;0.002036239;0.01969145;84.39858

0.01537045;0.2534396;0.002066356;0.01896711;84.89813

0.0211262;0.2424167;0.002006327;0.02004344;85.40456

0.0124729;0.223097;0.001943649;0.02134084;85.89825

0.02020689;0.2392887;0.001999193;0.02020474;86.40343

0.04033629;0.2331346;0.001975473;0.0195541;86.90036

0.04728779;0.2126408;0.001901214;0.02206623;87.40708

0.05391211;0.2093879;0.001892316;0.02226914;87.90083

0.05247294;0.2189624;0.001926569;0.02160298;88.3949

0.0279449;0.2096074;0.001890825;0.02242418;88.90349

0.04244156;0.1996671;0.001854639;0.0234441;89.40456

0.03661003;0.198175;0.001847241;0.02294269;89.8952

0.04855836;0.2016545;0.001865071;0.02297147;90.39555

0.0535706;0.2005345;0.001863057;0.02317003;90.89904

